key;name;url;ocspurl;
izenpe;Izenpe;http://tsa.izenpe.com;http://ocsp.izenpe.com:8094;
CATCert;CATCert;http://psis.catcert.net/psis/catcert/tsp;noesnecesario;
ACCV;ACCV;http://tss.accv.es:8318/tsa;noesnecesario;
